label_name,id,label
negative,0,0
negative,1,0
negative,2,0
negative,3,0
negative,4,0
negative,5,0
negative,6,0
negative,7,0
neutral,8,1
negative,9,0
negative,10,0
neutral,11,1
negative,12,0
negative,13,0
neutral,14,1
positive,15,2
negative,16,0
neutral,17,1
positive,18,2
negative,19,0
neutral,20,1
negative,21,0
negative,22,0
negative,23,0
neutral,24,1
positive,25,2
negative,26,0
neutral,27,1
negative,28,0
positive,29,2
negative,30,0
negative,31,0
negative,32,0
negative,33,0
neutral,34,1
positive,35,2
negative,36,0
neutral,37,1
negative,38,0
negative,39,0
negative,40,0
negative,41,0
negative,42,0
positive,43,2
negative,44,0
negative,45,0
negative,46,0
neutral,47,1
negative,48,0
neutral,49,1
neutral,50,1
negative,51,0
negative,52,0
neutral,53,1
negative,54,0
negative,55,0
positive,56,2
negative,57,0
negative,58,0
negative,59,0
positive,60,2
negative,61,0
negative,62,0
negative,63,0
negative,64,0
positive,65,2
negative,66,0
neutral,67,1
negative,68,0
neutral,69,1
neutral,70,1
negative,71,0
neutral,72,1
negative,73,0
positive,74,2
negative,75,0
negative,76,0
neutral,77,1
negative,78,0
positive,79,2
neutral,80,1
neutral,81,1
negative,82,0
negative,83,0
positive,84,2
negative,85,0
negative,86,0
neutral,87,1
negative,88,0
positive,89,2
negative,90,0
positive,91,2
negative,92,0
neutral,93,1
negative,94,0
negative,95,0
negative,96,0
positive,97,2
negative,98,0
negative,99,0
neutral,100,1
negative,101,0
negative,102,0
negative,103,0
negative,104,0
negative,105,0
negative,106,0
positive,107,2
positive,108,2
neutral,109,1
negative,110,0
neutral,111,1
negative,112,0
negative,113,0
negative,114,0
negative,115,0
negative,116,0
negative,117,0
neutral,118,1
negative,119,0
positive,120,2
negative,121,0
positive,122,2
negative,123,0
negative,124,0
neutral,125,1
neutral,126,1
positive,127,2
neutral,128,1
negative,129,0
neutral,130,1
negative,131,0
negative,132,0
positive,133,2
negative,134,0
negative,135,0
negative,136,0
positive,137,2
negative,138,0
neutral,139,1
negative,140,0
neutral,141,1
negative,142,0
negative,143,0
negative,144,0
negative,145,0
negative,146,0
positive,147,2
neutral,148,1
positive,149,2
neutral,150,1
negative,151,0
neutral,152,1
negative,153,0
positive,154,2
neutral,155,1
negative,156,0
negative,157,0
positive,158,2
neutral,159,1
positive,160,2
negative,161,0
neutral,162,1
negative,163,0
negative,164,0
negative,165,0
positive,166,2
neutral,167,1
negative,168,0
neutral,169,1
negative,170,0
positive,171,2
positive,172,2
negative,173,0
negative,174,0
neutral,175,1
negative,176,0
neutral,177,1
positive,178,2
positive,179,2
positive,180,2
neutral,181,1
positive,182,2
negative,183,0
negative,184,0
negative,185,0
negative,186,0
negative,187,0
neutral,188,1
positive,189,2
neutral,190,1
negative,191,0
negative,192,0
neutral,193,1
neutral,194,1
neutral,195,1
neutral,196,1
positive,197,2
neutral,198,1
negative,199,0
neutral,200,1
negative,201,0
neutral,202,1
negative,203,0
positive,204,2
neutral,205,1
negative,206,0
negative,207,0
negative,208,0
negative,209,0
negative,210,0
negative,211,0
positive,212,2
negative,213,0
positive,214,2
neutral,215,1
positive,216,2
negative,217,0
neutral,218,1
negative,219,0
negative,220,0
neutral,221,1
neutral,222,1
positive,223,2
negative,224,0
neutral,225,1
positive,226,2
negative,227,0
negative,228,0
negative,229,0
neutral,230,1
neutral,231,1
neutral,232,1
negative,233,0
positive,234,2
negative,235,0
negative,236,0
negative,237,0
neutral,238,1
negative,239,0
neutral,240,1
negative,241,0
positive,242,2
positive,243,2
negative,244,0
negative,245,0
negative,246,0
negative,247,0
positive,248,2
negative,249,0
negative,250,0
negative,251,0
negative,252,0
negative,253,0
negative,254,0
negative,255,0
positive,256,2
neutral,257,1
negative,258,0
negative,259,0
neutral,260,1
negative,261,0
negative,262,0
negative,263,0
negative,264,0
neutral,265,1
negative,266,0
neutral,267,1
negative,268,0
positive,269,2
neutral,270,1
positive,271,2
neutral,272,1
positive,273,2
neutral,274,1
positive,275,2
neutral,276,1
negative,277,0
negative,278,0
negative,279,0
positive,280,2
negative,281,0
positive,282,2
neutral,283,1
negative,284,0
neutral,285,1
negative,286,0
positive,287,2
negative,288,0
neutral,289,1
neutral,290,1
negative,291,0
neutral,292,1
neutral,293,1
negative,294,0
negative,295,0
negative,296,0
negative,297,0
neutral,298,1
neutral,299,1
negative,300,0
